user_id,age,interest_category
838127,48.0,
757249,18.0,Nature & Wildlife
236923,35.0,4WD & Off-Road
817722,55.0,Nature & Wildlife
985748,26.0,Wine Tasting
450773,27.0,4WD & Off-Road
504275,49.0,Cruises & Water Tours
232421,,
930240,54.0,
598908,31.0,Wine Tasting
208244,,
510754,22.0,4WD & Off-Road
235113,,
798890,,
856784,35.0,4WD & Off-Road
739218,49.0,4WD & Off-Road
825435,,
570822,61.0,
421999,42.0,Cruises & Water Tours
181181,55.0,Nature & Wildlife
252520,60.0,Cruises & Water Tours
366763,,
778797,,
712959,44.0,4WD & Off-Road
356301,44.0,4WD & Off-Road
773235,49.0,Nature & Wildlife
723444,64.0,Nature & Wildlife
213804,,
761466,52.0,Cultural Tours
310748,37.0,Hop-On Hop-Off Tours
194664,,
528251,55.0,Hop-On Hop-Off Tours
551035,44.0,Nature & Wildlife
347309,,
943813,38.0,4WD & Off-Road
859048,52.0,
638788,37.0,4WD & Off-Road
966963,27.0,Cultural Tours
390231,19.0,Hop-On Hop-Off Tours
151272,34.0,4WD & Off-Road
694763,57.0,4WD & Off-Road
865564,46.0,Cultural Tours
318933,59.0,Cruises & Water Tours
730569,36.0,Cultural Tours
814131,20.0,4WD & Off-Road
244962,,
137319,64.0,Cruises & Water Tours
717067,18.0,Nature & Wildlife
772162,30.0,Nature & Wildlife
873821,21.0,Nature & Wildlife
573192,,
691215,62.0,Nature & Wildlife
113170,,
877548,39.0,Nature & Wildlife
975079,36.0,Cultural Tours
955653,22.0,4WD & Off-Road
543423,40.0,Wine Tasting
826610,22.0,Nature & Wildlife
251829,53.0,4WD & Off-Road
721458,56.0,4WD & Off-Road
718467,31.0,4WD & Off-Road
466817,,
146630,27.0,
555079,51.0,
354978,64.0,Cultural Tours
408336,30.0,4WD & Off-Road
258028,46.0,Cultural Tours
767344,,
109154,42.0,Hop-On Hop-Off Tours
953665,40.0,
986959,39.0,4WD & Off-Road
373742,31.0,4WD & Off-Road
490133,29.0,Nature & Wildlife
750223,47.0,Cultural Tours
862553,54.0,Cultural Tours
910825,32.0,
578999,64.0,4WD & Off-Road
748292,36.0,
448186,60.0,Cruises & Water Tours
998704,34.0,4WD & Off-Road
625248,24.0,Cultural Tours
514558,30.0,4WD & Off-Road
309617,32.0,Cultural Tours
660729,58.0,Cruises & Water Tours
590996,35.0,Nature & Wildlife
199947,18.0,Cultural Tours
880905,36.0,4WD & Off-Road
878946,37.0,
391304,,
166240,44.0,Cultural Tours
406053,,
514380,52.0,Hop-On Hop-Off Tours
242271,,
582828,,
877421,,
711070,52.0,4WD & Off-Road
858557,55.0,Nature & Wildlife
450881,36.0,4WD & Off-Road
613926,57.0,Cultural Tours
335658,,
509819,19.0,Cultural Tours
909852,,
497711,49.0,Nature & Wildlife
337009,42.0,Nature & Wildlife
355179,,
611622,51.0,Wine Tasting
964881,22.0,Nature & Wildlife
518956,49.0,Cultural Tours
449685,,
258208,53.0,
114537,64.0,Cultural Tours
640512,53.0,Nature & Wildlife
361490,35.0,Cultural Tours
746052,60.0,Cultural Tours
920983,21.0,Nature & Wildlife
830207,38.0,Hop-On Hop-Off Tours
287899,29.0,4WD & Off-Road
241599,40.0,Cruises & Water Tours
410565,21.0,4WD & Off-Road
933995,32.0,Cultural Tours
934975,52.0,Cultural Tours
352557,60.0,Cultural Tours
260167,,
113525,44.0,Cruises & Water Tours
278473,,
598962,18.0,
904867,,
201044,,
317189,51.0,Hop-On Hop-Off Tours
574464,54.0,Cultural Tours
946235,18.0,4WD & Off-Road
384322,50.0,4WD & Off-Road
140687,,
642551,19.0,Nature & Wildlife
854158,52.0,Hop-On Hop-Off Tours
415874,,
380896,,
318520,25.0,4WD & Off-Road
903308,62.0,Cultural Tours
704861,63.0,Nature & Wildlife
117310,59.0,Cruises & Water Tours
525925,32.0,4WD & Off-Road
802459,47.0,
393439,61.0,
135055,44.0,Hop-On Hop-Off Tours
951203,29.0,4WD & Off-Road
634545,42.0,Nature & Wildlife
747719,,
839222,58.0,Cultural Tours
570595,,
898580,58.0,Cruises & Water Tours
650716,52.0,Cultural Tours
892462,50.0,Nature & Wildlife
660113,52.0,4WD & Off-Road
557140,,
137753,42.0,Hop-On Hop-Off Tours
114102,33.0,Wine Tasting
880226,47.0,Cultural Tours
471930,61.0,Cruises & Water Tours
917163,51.0,
434048,,
618066,52.0,
801011,58.0,4WD & Off-Road
588186,45.0,4WD & Off-Road
195455,,
307182,60.0,Nature & Wildlife
344748,36.0,Hop-On Hop-Off Tours
972205,,
756645,63.0,Cultural Tours
974780,18.0,4WD & Off-Road
776524,52.0,Hop-On Hop-Off Tours
591604,51.0,
211789,44.0,4WD & Off-Road
546763,26.0,Nature & Wildlife
819822,22.0,4WD & Off-Road
819018,50.0,Nature & Wildlife
668296,62.0,Cruises & Water Tours
482797,52.0,Cultural Tours
626500,36.0,Cultural Tours
340945,29.0,4WD & Off-Road
124868,56.0,Hop-On Hop-Off Tours
996202,56.0,Nature & Wildlife
689083,31.0,Cultural Tours
171177,23.0,Cultural Tours
681664,20.0,4WD & Off-Road
373264,33.0,Cultural Tours
565625,,
525633,57.0,4WD & Off-Road
119197,20.0,Nature & Wildlife
400919,,
144595,28.0,4WD & Off-Road
869762,36.0,Cultural Tours
297490,58.0,Hop-On Hop-Off Tours
371760,27.0,4WD & Off-Road
453218,45.0,Hop-On Hop-Off Tours
381759,30.0,Nature & Wildlife
140818,35.0,
197769,45.0,Cultural Tours
793010,40.0,Cultural Tours
299958,30.0,4WD & Off-Road
367550,59.0,
703494,21.0,
761330,36.0,4WD & Off-Road
988074,46.0,Cultural Tours
477347,52.0,Hop-On Hop-Off Tours
990921,42.0,Hop-On Hop-Off Tours
725237,49.0,Wine Tasting
437192,60.0,Cultural Tours
626001,,
431177,,
601768,29.0,4WD & Off-Road
905530,53.0,Nature & Wildlife
595671,39.0,4WD & Off-Road
737417,,
661419,,
567356,36.0,Nature & Wildlife
632141,63.0,Cruises & Water Tours
388472,35.0,4WD & Off-Road
768394,46.0,Cultural Tours
214241,63.0,4WD & Off-Road
872033,39.0,Cultural Tours
202161,,
938183,38.0,Cultural Tours
772358,,
311395,51.0,Cultural Tours
635020,63.0,Cultural Tours
963019,32.0,Nature & Wildlife
276941,64.0,4WD & Off-Road
524484,53.0,Nature & Wildlife
877501,19.0,4WD & Off-Road
116774,59.0,
493544,50.0,Hop-On Hop-Off Tours
278935,42.0,Cultural Tours
908040,63.0,Cultural Tours
398079,62.0,4WD & Off-Road
614040,26.0,4WD & Off-Road
544165,,
775242,47.0,Cruises & Water Tours
742530,61.0,Cultural Tours
556031,,
689872,50.0,Cruises & Water Tours
152195,20.0,Hop-On Hop-Off Tours
483277,20.0,
519501,22.0,4WD & Off-Road
172677,60.0,4WD & Off-Road
903013,19.0,Nature & Wildlife
772370,,
765885,38.0,4WD & Off-Road
428848,20.0,4WD & Off-Road
912439,64.0,Hop-On Hop-Off Tours
264537,61.0,Cruises & Water Tours
743505,56.0,
114403,,
795063,21.0,Wine Tasting
899811,,
687901,48.0,Cruises & Water Tours
951897,24.0,Wine Tasting
315045,24.0,
854688,52.0,Wine Tasting
192148,46.0,Wine Tasting
544953,44.0,Cultural Tours
130007,58.0,4WD & Off-Road
955206,,
119741,20.0,4WD & Off-Road
264209,28.0,Nature & Wildlife
181210,51.0,Cruises & Water Tours
864903,31.0,Nature & Wildlife
566732,,
470920,,
803985,48.0,Cultural Tours
864952,55.0,Cruises & Water Tours
619429,58.0,4WD & Off-Road
429150,44.0,4WD & Off-Road
183902,19.0,Hop-On Hop-Off Tours
172242,,
514656,51.0,Nature & Wildlife
519007,,
631262,43.0,Nature & Wildlife
359022,,
847855,,
115413,46.0,4WD & Off-Road
451775,,
860116,47.0,Wine Tasting
534902,35.0,Wine Tasting
606883,,
246902,,
670427,23.0,4WD & Off-Road
377262,25.0,Hop-On Hop-Off Tours
220101,22.0,Hop-On Hop-Off Tours
147221,38.0,
575232,,
803283,36.0,4WD & Off-Road
701703,50.0,
259639,,
856717,,
104002,,
329848,48.0,Cultural Tours
863353,28.0,4WD & Off-Road
282862,40.0,4WD & Off-Road
520987,64.0,Cruises & Water Tours
234808,35.0,Hop-On Hop-Off Tours
288804,,
915624,51.0,Hop-On Hop-Off Tours
145591,56.0,
341319,23.0,
574710,35.0,Nature & Wildlife
935525,30.0,4WD & Off-Road
941884,42.0,Cultural Tours
296411,53.0,
816921,56.0,4WD & Off-Road
732239,,
278287,34.0,Nature & Wildlife
570745,41.0,4WD & Off-Road
650371,64.0,
804426,,
837909,28.0,4WD & Off-Road
377979,21.0,4WD & Off-Road
303031,24.0,Cultural Tours
437673,18.0,4WD & Off-Road
472845,52.0,Cruises & Water Tours
115863,,
701535,46.0,Nature & Wildlife
963542,,
386707,,
153951,36.0,4WD & Off-Road
412352,,
396600,47.0,4WD & Off-Road
872783,59.0,Hop-On Hop-Off Tours
327701,,
269106,27.0,Nature & Wildlife
100935,52.0,Wine Tasting
673456,30.0,4WD & Off-Road
485930,59.0,
646265,,
326903,,
921822,39.0,4WD & Off-Road
707127,,
477240,38.0,Hop-On Hop-Off Tours
407564,38.0,
401049,20.0,
445995,53.0,Cruises & Water Tours
843956,31.0,
434026,60.0,Cultural Tours
710733,64.0,Hop-On Hop-Off Tours
249413,61.0,Hop-On Hop-Off Tours
305490,26.0,4WD & Off-Road
